"San Patrignano",Sangiovese,varietal
"Azienda Agricola Dino Illuminati",Trebbiano,varietal
Marramiero,Trebbiano,varietal
"Valle Reale",Trebbiano,varietal
"Masseria Li Veli",Verdeca,varietal
Casebianche,Fiano,varietal
"Contrade di Taurasi (Cantine Lonardo)",Grecomusc,varietal
"Azienda Agricola San Salvatore di Giuseppe Pagano","Fiano Paestum",varietal
"Antica Masseria Venditti",Falanghina,varietal
"Oppida Aminea",Greco,varietal
"Cantine di Dolianova",Nuragus,varietal
"Il Nuraghe",Vermentino,varietal
Morgante,"Nero d'Avola",varietal
"Azienda Agricola Bonaccorsi",Carricante,varietal
Graci,Carricante,varietal
Benanti,Carricante,varietal
"Baglio di Pianetto",Viognier,varietal
"Vino di Anna",Grecanico,varietal
"Azienda Agricola Valentini",Montepulciano,varietal
Scarbolo,"Bordeaux Red Blends",varietal
Colgin,Syrah,varietal
"Sine Qua Non",Syrah,varietal
T-Vine,Zinfandel,varietal
"Gramercy Cellars",Syrah,varietal
"Forlorn Hope",Alvarelhao,varietal
T-Vine,Grenache,varietal
" Sine Qua Non",Grenache,varietal
Collemationi,Sangiovese,varietal
"Il Colle",Sangiovese,varietal
"La Portadi Vertine",Sangiovese,varietal
Terreno,Sangiovese,varietal
Terrano,Sangiovese,varietal
"La Colombina",Sangiovese,varietal
Bellus,Sangiovese,varietal
"Carpineta Fontalpino","Cabernet Sauvignon",varietal
Riecine,Sangiovese,varietal
Cesani,Ciliegiolo,varietal
Fertuna,"Cabernet Sauvignon",varietal
Friscobaldi,"Pinot Nero",varietal
Pacina,Chianti,varietal
"Le Berne",Sangiovese,varietal
"Fiorano (Boncompagni Ludovisi)",Semillon,varietal
"Casale Del Giglio","White Blend",varietal
"Castel de Paolis","White Blend",varietal
"Monastero Suore Cistercensi","White Blend",varietal
"Andrea Occhipinti",Aleatico,varietal
"Villa Maria","Sauvignon Blanc",varietal
"Cantina Sant'Andrea","Moscato Bianco",varietal
"Valentin Bianchi","Bordeaux Red Blends",varietal
Ciavolich,Trebbiano,varietal
"Cantina Tollo",Montepulciano,varietal
"Barone di Valforte",Passerina,varietal
"Borgo di Colloredo","Trebbiano Blend",varietal
"Calabrone Bastianich","Red Blend",varietal
"Ronchi de Cialla",Verduzzo,varietal
"Borgo del Tiglio","White Blend",varietal
Radikon,Merlon,varietal
Radikon,Merlot,varietal
Marjan,Chardonnay,varietal
"La Castellada",Castellada,varietal
"Vignai Da Duline","White Blend",varietal
Livon,Schioppettino,varietal
Dorigo,Pignolo,varietal
Sutor,"Pinot Noir",varietal
"Masut da Rive",Ribolla,varietal
"Sant' Elena","Bordeaux Red Blends",varietal
"II Carpino",Merlot,varietal
Bastianich,"Red Blend",varietal
Cichin,Nebbiolo,varietal
"Ada Nada",Nebbiolo,varietal
"Fanin Riserva",Nebbiolo,varietal
Rabaja,Nebbiolo,varietal
Basilisco,Aglianico,varietal
"Re Manfredi",Aglianico,varietal
Scala,Gaglioppo,varietal
Mesa,Carignan,varietal
Santadi,Carignan,varietal
"Tenuta Dettori",Cannonau,varietal
Contini,Nieddera,varietal
Punica,Carignan,varietal
"Sella  Mosca","Cabernet Sauvignon",varietal
Mortilla,Frappato,varietal
Occhipinti,Frappato,varietal
"Valle dell'Acate","Nero DAvola",varietal
Benanti,"Nerello Blend",varietal
" Calabretta"," Nerello Mascalese ",varietal
"Romeo Del Castello","Nerello Cappuccio and Nerello Mascalese",varietal
"Di Giovanna","Nerello Mascalese",varietal
"Tenuta Dell'Abate","Cabernet-Syrah Blend",varietal
"Champagne Nicolas Feuillatte",Rose,varietal
"Champagne Taittinger",Champagne,varietal
" Stuhlmuller Vineyards",Chardonnay,varietal
" Molnar Family",Chardonnay,varietal
" Jean-Claude Thevenet",Chardonnay,varietal
Neyers,Chardonnay,varietal
" Auteur",Chardonnay,varietal
"Bannister Winery",Chardonnay,varietal
Yealands,"Sauvignon Blanc",varietal
" Groth Vineyards Winery","Sauvignon Blanc",varietal
" Castelo de Medina"," Verdejo",varietal
" Weingut Martinshof (Germany)",Riesling,varietal
"Nickel  Nickel",Zinfandel,varietal
" Mi Sueno Cellars","Cabernet Sauvignon",varietal
" Janzen","Cabernet Sauvignon",varietal
" Stewart Cellars","Cabernet Sauvignon",varietal
" Scherrer Winery","Cabernet Sauvignon",varietal
"Paul Hobbs Winery","Cabernet Sauvignon",varietal
" Candor",Merlot,varietal
" Page Wine Cellars",Merlot,varietal
"Lewis Cellars","Other Red Blends",varietal
" Hope  Grace Wines","Pinot Noir",varietal
" Heritance ","Pinot Noir",varietal
"Carlos Pulenta","Bordeaux Red Blends",varietal
" Tscharke ",Tempranillo,varietal
"Schramsberg Vineyards"," Sparkling",varietal
" Lieb Cellars",Chardonnay,varietal
" White Rock",Chardonnay,varietal
"Lewis Cellars",Chardonnay,varietal
" Kongsgaard",Chardonnay,varietal
" Lola Kay","Sauvignon Blanc",varietal
" Bedell Cellars Winery",Rose,varietal
" Emeritus","Pinot Noir",varietal
" Native 9","Pinot Noir",varietal
Dumol,"Pinot Noir",varietal
"Williams Selyem Winery","Pinot Noir",varietal
"Owen Roe","Rhone Red Blends",varietal
Darioush,"Cabernet Sauvignon",varietal
"Spottswoode Estate Vineyard  Winery","Bordeaux Red Blends",varietal
Cardinale,"Bordeaux Red Blends",varietal
"L'Ecole 41",Merlot,varietal
" Hartwell Vineyards",Merlot,varietal
" Scholium Project","Petite Syrah",varietal
"Gewurztraminer ""Kolbenhof"" J. Hofstatter","White wine",varietal
Pacherhof,"White wine",varietal
"Bisson Colline del Genovesato","White wine",varietal
"Domaine Des Croix","Pinot Noir",varietal
Tollot-Beaut,"Pinot Noir",varietal
"Domaine Chanson","Pinot Noir",varietal
Dugat-Py,"Pinot Noir",varietal
"Charles Mauger","Pinot Noir",varietal
"Francois Parent","Pinot Noir",varietal
"Comtes Lafon","Pinot Noir",varietal
"""Santenots-du-Milieu"" Comtes Lafon","Pinot Noir",varietal
Coche-Dury,"Pinot Noir",varietal
"Jean-Paul Thevenet",Gamay,varietal
"Domaine Chandon","Champagne Blend",varietal
"Pierre Brigandat, Brut",Champagne,varietal
" Piper-Heidsieck"," Ros",varietal
"Champagne Nicolas Feuillatte",Champagne,varietal
